user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
EHA01886_bin.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	GCF_000482845.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	96.73	0.905	GCF_000482845.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	96.73	0.905	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.63	11	N/A	N/A
EHA01886_bin.14	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900555845	GCF_905200055.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900555845	98.25	0.856	GCF_905200055.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900555845	98.25	0.856	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_021531615.1, s__Fusobacterium_A varium_C, 95.0, 94.96, 0.759; GCF_900543175.1, s__Fusobacterium_A sp900543175, 95.69, 94.51, 0.733; GCA_030527385.1, s__Fusobacterium_A sp030527385, 95.0, 88.63, 0.547; GCF_900637705.1, s__Fusobacterium_A varium, 95.0, 80.16, 0.151	89.89	11	N/A	N/A
EHA01886_bin.3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	97.61	0.857	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	97.61	0.857	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000194175.1, s__Escherichia coli_F, 95.0, 95.99, 0.822; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.43, 0.739; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 93.07, 0.761; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 92.77, 0.734; GCF_011881725.1, s__Escherichia coli_E, 95.0, 92.48, 0.84; GCF_029876145.1, s__Escherichia ruysiae, 95.0, 92.34, 0.824; GCF_014836715.1, s__Escherichia whittamii, 95.0, 91.7, 0.797; GCF_002900365.1, s__Escherichia marmotae, 95.0, 90.94, 0.729; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 90.93, 0.571; GCF_000759775.1, s__Escherichia albertii, 95.0, 90.25, 0.7	98.47	11	N/A	N/A
EHA01886_bin.8	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Zhenhengia;s__Zhenhengia yiwuensis	GCF_014384995.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Zhenhengia;s__Zhenhengia yiwuensis	98.89	0.919	GCF_014384995.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Zhenhengia;s__Zhenhengia yiwuensis	98.89	0.919	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Zhenhengia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018883975.1, s__Zhenhengia stercoravium, 95.0, 94.61, 0.802	93.74	11	N/A	N/A
EHA01887_bin.23	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	90.31	11	0.91666	N/A
EHA01887_bin.29	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	GCA_900541465.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	95.2	0.7	GCA_900541465.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465	95.2	0.7	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019416805.1, s__Fusobacterium_B sp019416805, 95.0, 94.18, 0.783; GCF_021531595.1, s__Fusobacterium_B sp900554355, 95.0, 87.89, 0.494; GCA_020024855.1, s__Fusobacterium_B sp020024855, 95.0, 85.2, 0.269; GCA_019416865.1, s__Fusobacterium_B sp019416865, 95.0, 85.05, 0.255; GCA_900542625.1, s__Fusobacterium_B sp900542625, 95.0, 84.53, 0.261; GCA_900545035.1, s__Fusobacterium_B sp900545035, 95.0, 83.89, 0.19	63.93	11	N/A	N/A
EHA01887_bin.4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.51	11	0.96193	N/A
EHA01887_bin.5	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__	N/A	N/A	N/A	N/A	N/A	GCF_003670275.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C labetoulli	93.92	0.788	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000765825.2, s__Helicobacter_C magdeburgensis, 95.0, 90.51, 0.778; GCF_000155475.1, s__Helicobacter_C cinaedi, 95.0, 89.42, 0.751	93.74	11	0.99076	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA01888_bin.10	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.57	0.89	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.57	0.89	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_902364775.1, s__Collinsella sp902364775, 95.0, 94.84, 0.801; GCA_900551665.1, s__Collinsella sp900551665, 95.0, 94.5, 0.696; GCA_029264355.1, s__Collinsella sp029264355, 95.0, 89.74, 0.532; GCA_958443615.1, s__Collinsella sp958443615, 95.0, 89.51, 0.481; GCA_020025115.1, s__Collinsella sp020025115, 95.0, 89.0, 0.449; GCA_902470815.1, s__Collinsella sp902470815, 95.0, 87.71, 0.28; GCA_900540845.1, s__Collinsella sp900540845, 95.0, 86.04, 0.21; GCF_003479805.1, s__Collinsella sp003479805, 95.0, 85.94, 0.203; GCF_020735465.1, s__Collinsella stercoris, 95.0, 85.79, 0.207; GCA_030525945.1, s__Collinsella sp030525945, 95.0, 85.18, 0.176	79.86	11	N/A	N/A
EHA01888_bin.4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.17	11	0.93866	N/A
EHA01889_bin.12	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.76	0.903	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.76	0.903	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_902364775.1, s__Collinsella sp902364775, 95.0, 95.09, 0.804; GCA_900551665.1, s__Collinsella sp900551665, 95.0, 94.4, 0.697; GCA_029264355.1, s__Collinsella sp029264355, 95.0, 89.94, 0.543; GCA_958443615.1, s__Collinsella sp958443615, 95.0, 89.5, 0.468; GCA_020025115.1, s__Collinsella sp020025115, 95.0, 89.29, 0.446; GCA_902470815.1, s__Collinsella sp902470815, 95.0, 88.04, 0.282; GCA_900540845.1, s__Collinsella sp900540845, 95.0, 87.05, 0.217; GCF_003479805.1, s__Collinsella sp003479805, 95.0, 86.44, 0.207; GCF_020735465.1, s__Collinsella stercoris, 95.0, 86.12, 0.222; GCA_030525945.1, s__Collinsella sp030525945, 95.0, 85.87, 0.165	78.67	11	N/A	N/A
EHA01890_bin.19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp023051105	GCF_023051105.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp023051105	97.64	0.922	GCF_023051105.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum sp023051105	97.64	0.922	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	92.02	4	N/A	N/A
EHA01890_bin.56	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	GCF_021531475.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	96.11	0.618	GCF_021531475.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	96.11	0.618	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029258315.1, s__Fusobacterium_B sp029258315, 95.0, 85.45, 0.22	59.19	11	N/A	Genome has more than 15.8% of markers with multiple hits
EHA01890_bin.6	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.97	11	0.98131	N/A
EHA01891_bin.15	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__	N/A	N/A	N/A	N/A	N/A	GCF_003670275.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C labetoulli	94.18	0.744	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000765825.2, s__Helicobacter_C magdeburgensis, 95.0, 90.96, 0.665; GCF_000155475.1, s__Helicobacter_C cinaedi, 95.0, 90.96, 0.658	75.53	11	0.99194	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA01892_bin.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	97.84	0.854	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	97.84	0.854	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029258205.1, s__Sarcina sp029258205, 95.0, 92.88, 0.615; GCF_029267215.1, s__Sarcina sp029267215, 95.0, 86.32, 0.219	69.35	11	N/A	N/A
EHA01892_bin.5	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000158195.2, s__Fusobacterium_A mortiferum, 95.0, 86.31, 0.479; GCA_018883725.1, s__Fusobacterium_A pullicola, 95.0, 83.6, 0.357; GCA_019410665.1, s__Fusobacterium_A sp019410665, 95.0, 83.37, 0.263; GCF_905193685.1, s__Fusobacterium_A sp900555485, 95.0, 83.16, 0.298; GCA_900764925.1, s__Fusobacterium_A sp900764925, 95.0, 83.06, 0.286; GCF_900450765.1, s__Fusobacterium_A necrogenes, 95.0, 82.91, 0.326; GCA_020024915.1, s__Fusobacterium_A sp020024915, 95.0, 81.44, 0.242; GCF_019012925.1, s__Fusobacterium_A sp019012925, 95.0, 80.9, 0.203	75.77	11	0.98042	N/A
